,KNN_std,NAIVE_BAYES_std,RANDOMFOREST_std,SGD(LINEAR)_std
ADULT,0.02,0.01,0.02,0.01
CADATA,0.03,,0.03,0.02
DIGITS,0.0,0.008,0.005,0.006
DOROTHEA,0.2,0.2,0.0,0.2
NEWSGROUPS,0.02,0.02,0.005,0.02
CHRISTINE,0.06,0.06,0.06,0.06
JASMINE,0.06,0.05,0.05,0.06
MADELINE,0.03,0.05,0.03,0.05
PHILIPPINE,0.04,0.03,0.04,0.04
SYLVINE,0.01,0.02,0.01,0.01
ALBERT,0.0,0.01,0.0,0.01
DILBERT,0.006,0.02,0.006,0.01
FABERT,0.04,0.04,0.03,0.03
ROBERT,0.0,0.0,0.0,0.0
VOLKERT,0.03,0.03,0.03,0.009
ALEXIS,0.0,0.01,0.01,0.009
DIONIS,,,,
GRIGORIS,0.02,0.02,0.02,
JANNIS,0.02,0.02,0.02,0.03
WALLIS,0.02,0.02,0.02,0.01
EVITA,0.06,0.0,0.07,0.04
FLORA,0.007,,,0.006
HELENA,0.01,0.01,0.007,
TANIA,0.003,,0.004,
YOLANDA,0.01,,0.01,0.01
ARTURO,0.03,0.03,0.03,0.03
CARLO,0.0,0.0,0.0,0.0
MARCO,0.0,0.03,0.0,
PABLO,0.02,,0.02,0.02
WALDO,0.04,0.03,0.03,0.03
