,aad_freiburg_global_std,aad_freiburg_timebudget_std,abhishek_std,djajetic_std,lise_sun_std,postech_std
ADULT,0.0069,0.0085,0.0078,0.0081,0.0087,0.0073
CADATA,0.0167,0.0189,0.0195,0.016,0.0164,0.0193
DIGITS,0.0037,0.0045,0.0071,0.0058,0.0034,0.0036
DOROTHEA,0.1646,0.1682,0.167,0.1395,0.1468,0.1631
NEWSGROUPS,0.0242,0.013,0.0383,0.0323,,0.02
CHRISTINE,0.0537,0.0594,0.0543,0.0471,0.0519,0.0605
JASMINE,0.0526,0.055,0.0517,0.0555,0.0503,0.0526
MADELINE,0.0334,0.0383,0.0426,0.0374,0.0421,0.0346
PHILIPPINE,0.0333,0.0304,0.0376,0.0372,0.0357,0.0374
SYLVINE,0.0129,0.0152,0.0124,0.0131,0.014,0.0147
ALBERT,0.0149,0.0123,0.0131,0.0167,0.0151,0.0158
DILBERT,0.007,0.0086,0.0174,0.0114,0.0778,0.0088
FABERT,0.035,0.0225,0.0377,0.028,,0.0712
ROBERT,0.0214,0.0254,0.025,0.0215,0.023,0.0249
VOLKERT,0.0157,0.0103,0.0137,0.0143,,0.0093
ALEXIS,0.0094,0.0089,0.0088,0.009,0.0108,0.0081
DIONIS,0.0101,0.0082,0.0135,0.0133,0.0096,
GRIGORIS,0.0387,0.0332,0.0347,0.0355,0.0283,0.0404
JANNIS,0.0405,0.0379,0.0217,0.0331,0.0202,0.0275
WALLIS,0.0202,0.0139,0.0161,0.0236,0.0155,0.0196
EVITA,0.0749,0.0786,0.0807,0.0813,0.0742,0.0737
FLORA,0.0337,0.024,0.0446,0.0335,0.035,0.0355
HELENA,0.0127,0.0125,0.0075,0.0118,0.0123,0.0153
TANIA,0.003,0.005,0.0065,0.0042,0.0077,0.0038
YOLANDA,0.0124,0.011,0.0155,0.0088,0.0099,0.0054
ARTURO,0.0237,0.0301,0.0301,0.0279,0.0269,0.027
CARLO,0.0927,0.4214,0.1609,0.0959,0.3895,0.1056
MARCO,0.0304,0.0312,0.0393,0.0237,0.0324,0.0308
PABLO,0.011,0.0096,0.0086,0.0105,0.0081,0.0044
WALDO,0.0346,0.037,0.0358,0.0379,0.038,0.0345
